RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,Street,fromSt,toSt,Direction
26516,Brooklyn,2017,11,12,0,0,23,27139,POINT (995466.9411617577 164451.7211730067),AVENUE M,East 15 Street,Brighton Line,WB\
11559,Bronx,2012,10,1,0,30,53,69641,POINT (1003750.6 235406.4),E 138 ST,GRAND CONCOURSE,PARK AVENUE,WB\
22451,Queens,2016,1,6,6,15,6,81527,POINT (1021204.8828568977 202955.48195915983),FITCHETT STREET,63 Avenue,63 Drive,EB\
17789,Manhattan,2014,8,5,6,0,66,159205,POINT (996715.3 238206.4),BROADWAY,W 136 ST,W 135 ST,SB\
27654,Brooklyn,2018,3,11,10,0,2,43831,POINT (1008838.0777044108 180541.70900888),LIVONIA AVENUE,Bristol Street,New Lots Line,WB\
31027,Bronx,2019,11,2,11,30,24,108866,POINT (1018064.069274056 261936.76905612714),BAINBRIDGE AVENUE,East 213 Street,Jerome Avenue,SB\
29350,Brooklyn,2018,11,17,1,30,12,219810,POINT (1018888.3282757375 178880.6546329714),FLATLANDS AVENUE,Dead End,Dead end,WB\
14424,Bronx,2013,2,2,12,45,859,179545,POINT (1038008.5 237082.2),THROGS NECK EXPY,THROGS NECK BR EN HARDING AV,THROGS NECK BR EN E 177 ST WB,EB\
10516,Manhattan,2012,10,9,3,15,3,164814,POINT (989371.9 219620.1),W 61 ST,CENTRAL PARK W,BROADWAY,EB\
17854,Manhattan,2014,10,30,6,0,373,36375,POINT (994319.2503920686 216731.19894725014),2 AVENUE,Astoria Line,East 61 Street,SB\
26107,Brooklyn,2016,10,20,17,15,141,166946,POINT (1010046.8757602125 155882.93709281375),BELT PARKWAY EXIT 11 SOUTH EB,Dead End,Dead end,EB\
29350,Brooklyn,2018,11,14,3,30,15,46682,POINT (1013864.3985010878 178046.02035905592),STANLEY AVENUE,Louisiana Avenue,Malta Street,WB\
26138,Brooklyn,2017,6,18,8,15,20,21152,POINT (985566.9929360298 170991.68190913924),50 STREET,11 Avenue,12 Avenue,EB\
29657,Brooklyn,2019,1,15,17,0,57,21188,POINT (985851.9048275804 172411.35667144504),45 STREET,12 Avenue,New Utrecht Avenue,WB\
16721,Queens,2014,2,19,6,45,0,76101,POINT (1015107.3 214442.6),NORTHERN BLVD,78 ST,79 ST,WB\
18043,Brooklyn,2014,11,9,1,0,44,42128,POINT (1004347.0349086011 170665.29320480768),KINGS HIGHWAY,Dead End,Glenwood Road,EB\
12307,Manhattan,2009,11,18,12,30,79,173050,POINT (1000231.9 236099.6),WEST 135TH ST EB APPROACH TO LENOX AVE,7 AVENUE,LENOX AVENUE,EB\
22696,Queens,2016,3,7,10,0,2,95901,POINT (1040483.1552937453 200534.41232706353),168 PLACE,Grand Central Parkway Sr South,84 Avenue,SB\
23864,Manhattan,2016,11,15,8,30,228,32361,POINT (984403.7498140666 202177.73312215533),BROOME STREET,Crosby Street,Broadway,WB\
22599,Queens,2016,4,11,9,45,39,145550,POINT (1023970.2624754057 183464.18637225791),LINDEN BOULEVARD,Sapphire Street,79 Street,EB\
29416,Queens,2018,11,5,8,15,58,113440,POINT (1019233.9612427562 215071.7196532941),JUNCTION BOULEVARD,Dead End,Northern Boulevard,WB\
32384,Manhattan,2020,11,1,10,0,42,34257,POINT (989423.2095312162 219396.78278319325),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,NB\
23860,Brooklyn,2016,10,1,4,30,59,22924,POINT (989867.6492954928 188823.28764035105),ATLANTIC AVENUE,3 Avenue,4 Avenue,WB\
30203,Queens,2019,5,8,3,0,18,68048,POINT (1008308.9765900206 210334.41365612388),ROOSEVELT AVENUE,51 Street,43 Avenue,EB\
21187,Queens,2015,11,11,19,15,138,119860,POINT (1012123.6630166079 202981.0320149672),GRAND AVENUE,Remsen Place,66 Street,WB\
26799,Queens,2017,4,6,14,45,268,156342,POINT (997369.8589727633 208628.7233612125),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,SB\
11584,Bronx,2013,1,15,14,15,1,85557,POINT (1026411.4 239600.2),TURNBULL AV,CASTLE HILL AV,HAVEMEYER AV,WB\
9888,Bronx,2011,4,4,19,45,19,77516,POINT (1013474.9 237807.4),FOX ST APPROACH TO BARRETTO ST,TIFFANY ST,SIMPSON ST/BARRETTO ST,NB\
31042,Brooklyn,2019,10,10,20,15,12,35041,POINT (995988.6951589035 207697.7754029466),COMMERCIAL STREET,Clay Street,Box Street,EB\
31033,Brooklyn,2019,10,12,20,0,69,27454,POINT (998761.483273067 159975.66506381912),BEDFORD AVENUE,Avenue R,Avenue S,NB\
26799,Brooklyn,2017,5,1,12,45,397,22139,POINT (984714.4461474445 184041.19627945297),HAMILTON AVENUE BRIDGE,Gowanus Canal Shoreline,Gowanus Canal Shoreline,NB\
29986,Manhattan,2019,3,14,6,30,464,35914,POINT (991388.4758536518 211442.05832444143),2 AVENUE,East 37 Street,East 38 Street,SB\
26258,Staten Island,2017,6,12,21,30,53,12499,POINT (951376.9034083603 162778.6736021913),VICTORY BOULEVARD,Todt Hill Road,Fairview Avenue,EB\
31042,Brooklyn,2019,10,12,0,30,25,47393,POINT (1012176.2613106434 182940.36424248567),SUTTER AVENUE,Hinsdale Street,Williams Avenue,WB\
28304,Brooklyn,2018,6,7,21,45,33,188547,POINT (989109.6306326629 190653.05259342477),DEKALB AVENUE,Flatbush Avenue Extension,Bond Street,WB\
23376,Brooklyn,2016,6,5,12,15,100,43236,POINT (1003249.9005768467 180609.31286117888),UTICA AVENUE,East New York Avenue,Maple Street,SB\
24634,Brooklyn,2016,10,28,5,15,14,158152,POINT (1000602.389694117 151949.947335667),EMMONS AVENUE,East 27 Street,East 28 Street,EB\
10484,Brooklyn,2012,10,21,13,0,0,28258,POINT (994841.1 177720.1),OCEAN AV,WOODRUFF AV,PARKSIDE AV/S LAKE DR,NB\
3051,Queens,2010,4,16,12,45,0,65967,POINT (1000752.3 209186.7),E/B HUNTERS POINT AVE BR @ 30 ST,49 AV,HUNTERS PT AV,EB\
20752,Bronx,2015,6,20,1,45,28,221956,POINT (1012837.6194711515 270389.2326466091),BROADWAY,Dead End,West 261 Street,NB\
7857,Queens,2011,3,31,10,15,236,156596,POINT (1023975.5 183550.5),LINDEN BLVD MAIN RDWY,79 ST,78 ST (SAPPHIRE ST),WB\
11575,Manhattan,2012,10,4,8,15,51,159183,POINT (989427.5 223673.7),BROADWAY,W 74 ST,W 75 ST,SB\
27083,Queens,2017,11,11,23,15,28,52156,POINT (1029714.3550647214 187121.85530596832),104 STREET,107 Avenue,Rockaway Boulevard,SB\
20343,Queens,2015,6,19,15,15,462,157372,POINT (1016300.2082779242 217815.2966275849),ASTORIA BOULEVARD,84 Street,85 Street,EB\
21113,Bronx,2015,11,6,14,0,69,79904,POINT (1012973.23386353 253204.7152203856),VALENTINE AVENUE,East 188 Street,East Fordham Road,SB\
19657,Queens,2015,5,17,12,45,644,64059,POINT (1059459.4226726952 181796.394955486),SOUTH CONDUIT AVENUE,Hook Creek Boulevard,Dead end,EB\
2961,Queens,2010,1,26,4,15,15,61158,POINT (1047136.1 199668.8),N/B 188 ST @ HILLSIDE AVE,HILLSIDE AV,89 AV,NB\
24817,Queens,2016,11,9,11,30,60,53980,POINT (1038653.0834773 153693.7722718239),ROCKAWAY BEACH BOULEVARD,Beach Breeze Lane,Beach 77 Street,WB\
18351,Brooklyn,2014,9,28,3,15,10,21495,POINT (989590.5996420478 175085.9853313768),CATON AVENUE,Dahill Road,Mc Donald Avenue,EB\
28260,Brooklyn,2018,6,4,4,15,1,21301,POINT (987968.5063602764 170749.593794505),45 STREET,14 Avenue,15 Avenue,WB\
26015,Bronx,2017,6,24,19,0,71,113977,POINT (1023579.5679843029 246904.38508528058),BRONXDALE AVENUE,Dead End,Dead end,NB\
29426,Bronx,2018,10,30,8,15,160,122276,POINT (1021450.1278542218 238370.57352631952),SOUNDVIEW AVENUE,Dead End,Commonwealth Avenue,NB\
20924,Queens,2015,9,27,7,0,36,149063,POINT (1025073.2602357421 211056.8972496003),111 STREET,50 Avenue,49 Avenue,NB\
9924,Bronx,2011,5,11,18,0,13,114265,POINT (1029259.9 261520.5),BOLLER AVE APPROACH TO NEEDHAM AVE,CRAWFORD AVENUE,NEEDHAM AVENUE,SB\
23864,Queens,2016,11,20,17,45,584,137771,POINT (1045430.7450122779 217224.03084229957),CLEARVIEW EXPRESSWAY,39 Avenue,Dead end,SB\
28844,Queens,2019,1,15,11,45,76,58665,POINT (1040652.6276292047 184875.12058679634),ROCKAWAY BOULEVARD,142 Place,143 Street,WB\
2422,Staten Island,2009,11,17,1,15,0,184610,POINT (963061.9 158743.3),W/B WINDERMERE RD @ STEUBEN ST,POUCH TER,STEUBEN ST,WB\
25929,Brooklyn,2016,9,15,11,30,51,23917,POINT (985829.494227377 195349.31655819225),OLD FULTON STREET,Everit Street,Water Street,WB\
21795,Queens,2015,10,27,23,45,6,177513,POINT (1023258.3170536879 215200.4138196496),110 STREET,Northern Boulevard,34 Avenue,NB\
26510,Brooklyn,2017,11,4,12,45,55,20337,POINT (989005.616984738 160688.71708165866),AVENUE P,West 10 Street,West 9 Street,WB\
20847,Brooklyn,2015,6,29,18,45,0,163449,POINT (993328.5341894324 162264.48544692804),AVENUE O,Ocean Parkway,East 7 Street,WB\
19325,Bronx,2015,2,22,9,30,44,108897,POINT (1020974.1423655964 248404.6972054734),WHITE PLAINS ROAD,Cruger Avenue,Sagamore Street,NB\
17309,Bronx,2014,5,25,18,15,275,146580,POINT (1014159 253276),E FORDHAM RD,WEBSTER AV,BEND,EB\
28260,Manhattan,2018,6,3,15,45,199,164301,POINT (987056.6815262485 201549.75930555572),ALLEN STREET,Delancey Street,Rivington Street,NB\
15799,Manhattan,2013,11,19,12,45,20,23324,POINT (982796.6 196899.4),JOHN ST,PEARL ST,WATER ST,WB\
29713,Manhattan,2019,2,7,17,30,462,262276,POINT (984316.697751358 206451.81267476053),AVENUE OF THE AMERICAS,8 Avenue Line,6 Avenue Line,NB\
21166,Brooklyn,2015,10,16,21,0,780,138811,POINT (999896.3414798129 152440.31382956693),BELT PARKWAY,Bedford Avenue,Dead end,WB\
26799,Queens,2017,6,20,22,0,1002,144320,POINT (1003917.7237628322 204490.03069884307),KOSCIUSZKO BRIDGE,Dead End,Newtown Creek Shoreline,WB\
17987,Brooklyn,2014,10,15,5,15,53,42645,POINT (1008193.7414207541 178053.93759594837),ROCKAWAY PARKWAY,Church Avenue,Avenue A,NB\
29700,Brooklyn,2019,1,28,16,15,75,46449,POINT (1011636.9701925959 178711.9011760149),HEGEMAN AVENUE,Sackman Street,Powell Street,WB\
28834,Brooklyn,2018,11,7,17,0,60,167682,POINT (1004112.0134144941 199645.36634179577),STEWART AVENUE,Metropolitan Avenue,Grand Street,NB\
28802,Manhattan,2018,11,4,15,15,155,32742,POINT (986409.449468416 204856.78558861595),LAFAYETTE STREET,East 4 Street,Astor Place,NB\
9536,Queens,2012,2,2,0,15,38,157433,POINT (1017886.2 217503.9),ASTORIA BOULEVARD,25 AVENUE,91 STREET,WB\
24306,Bronx,2016,9,18,11,30,86,89596,POINT (1027056.9556179091 266058.5389688464),BAYCHESTER AVENUE,Nereid Avenue,Pitman Avenue,SB\
23837,Brooklyn,2016,11,18,15,30,1056,140111,POINT (989819.9057678428 151604.2624469536),BELT PARKWAY,Dead End,Dead end,EB\
21682,Manhattan,2015,10,26,17,45,205,9017062,POINT (1001322.8565927307 235045.5976796839),5 AVENUE,Dead End,Dead end,SB\
24634,Brooklyn,2016,10,18,1,15,10,188630,POINT (1003334.8171020773 152125.7615770352),EMMONS AVENUE,Brigham Street,Knapp Street,EB\
30660,Manhattan,2019,6,23,4,0,18,71115,POINT (1002174.8029140903 248781.22755430776),WADSWORTH AVENUE,West 180 Street,West 181 Street,SB\
21527,Queens,2015,10,21,10,15,91,188146,POINT (1001638.2550667268 210832.92025045882),SKILLMAN AVENUE,30 Street,Thomson Avenue,WB\
16594,Manhattan,2014,1,28,9,0,414,35810,POINT (990250.6 215061.9),5 AV,E 47 ST/W 47 ST,E 48 ST/W 48 ST,SB\
25932,Brooklyn,2016,9,19,18,0,104,148681,POINT (988298.6371487915 193620.4022381434),FLATBUSH AVENUE EXTENSION,6 Avenue Line,6 Avenue Line,NB\
8915,Queens,2012,1,26,16,0,153,75414,POINT (1010616.7 213406),BROADWAY,56 STREET,57 STREET,WB\
18054,Bronx,2014,9,21,0,45,190,143873,POINT (1035214.2424372662 261672.6500486804),HUTCHINSON RIVER PARKWAY,Hutchinson River Pkwy Nb Et 6,Dead end,NB\
17447,Queens,2014,6,24,1,15,0,90531,POINT (1037111.9 203050.9),77 AV,PARSONS BLVD,160 ST,WB\
15972,Manhattan,2013,11,8,20,45,212,37966,POINT (998683.8 229230.3),MADISON AVENUE,EAST 109 STREET,EAST 110 STREET,NB\
24904,Manhattan,2016,11,23,20,0,117,72898,POINT (1007295.5595233574 255347.0359545346),10 AVENUE,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,NB\
28809,Manhattan,2018,10,30,23,30,211,158579,POINT (988640.3006713097 210006.30954259005),PARK AVENUE SOUTH,East 27 Street,East 28 Street,SB\
32407,Bronx,2020,10,16,22,45,2,176380,POINT (1015844.0460574686 257905.020923898),EAST 204 STREET,Grand Concourse,Dead end,WB\
15799,Manhattan,2013,12,12,20,15,100,164785,POINT (989270.2 210636.8),E 31 ST,LEXINGTON AV,PARK AV S,WB\
19097,Manhattan,2015,1,5,13,30,87,31906,POINT (982418.5897529337 203687.30303111492),SPRING STREET,Hudson Street,Broadway/ 7 Avenue Line,EB\
18083,Bronx,2014,9,19,15,15,158,70376,POINT (1008115.3516519414 237762.65071232483),3 AVENUE,East 154 Street,East 155 Street,NB\
19506,Bronx,2015,2,21,7,15,2,8104317,POINT (1015886.2613281001 258601.9349341533),CONCOURSE LINE,Connector,Grand Concourse,NB\
24634,Brooklyn,2016,10,18,11,0,25,158334,POINT (1001230.6172420852 152082.2228062305),NOSTRAND AVENUE,Hitchings Avenue,Emmons Avenue,SB\
18673,Brooklyn,2014,11,8,14,45,67,18476,POINT (989380.8341185488 149439.0630676094),STILLWELL AVENUE,Surf Avenue,Mermaid Avenue,NB\
16595,Queens,2014,2,9,15,45,41,75423,POINT (1011104.6 213219.5),34 AV,58 ST/BROADWAY,59 ST,WB\
21616,Staten Island,2015,9,17,18,15,271,155270,POINT (944578.568082301 137992.76285414302),HYLAN BOULEVARD,Whitman Avenue,Hillside Terrace,EB\
21109,Brooklyn,2015,10,3,16,0,22,8100888,POINT (1006345.733176056 196130.39582475382),14 STREET/CANARSIE LINE,Suydam Street,Hart Street,NB\
26966,Brooklyn,2017,10,21,21,0,71,34880,POINT (994750.3188693616 200039.99266744681),BERRY STREET,North 1 Street,Metropolitan Avenue,NB\
17655,Manhattan,2014,10,8,18,45,27,38470,POINT (996015.4 232677.8),W 116 ST,MORNINGSIDE AV,MANHATTAN AV,EB\
23530,Staten Island,2016,6,12,0,0,37,155392,POINT (959969.9661658664 152098.79646008968),SEAVIEW AVENUE,Mason Avenue,Nugent Avenue,EB\
12063,Bronx,2011,12,3,9,30,195,134086,POINT (1030963.1 255933.1),BARTOW AVE APPROACH TO ASCH LOOP,ASCH LOOP,BAYCHESTER AV,EB\
24389,Brooklyn,2016,9,26,18,0,85,44152,POINT (1000181.8631849786 195519.97972736027),GRAHAM AVENUE,Varet Street,Moore Street,SB\
7311,Queens,2010,3,15,1,15,0,191393,POINT (1059811.3 198373.3),W/B HEMSTEAD AVE @ CITY LINE (NEAR CIP),CROSS IS PKWY,DEAD END,WB\
16547,Manhattan,2014,2,5,11,0,0,38168,POINT (993674.9 230776.6),AMSTERDAM AV,W 105 ST,W 106 ST,NB\
25852,Queens,2017,5,23,15,15,73,122466,POINT (1007567.7171444179 211774.24873943703),48 STREET,Alley,Alley,SB\
15296,Manhattan,2013,6,23,22,15,42,166670,POINT (999464.7 243466.9),W 158 ST,RIVERSIDE DR/EDWARD M MORGAN PL,BROADWAY,EB\
1516,Queens,2010,4,16,0,30,22,102926,POINT (1065206.8 208077.6),W/B HILLSIDE AVE @ 260 ST,260 ST,261 ST,WB\
19316,Brooklyn,2015,3,19,5,45,130,157552,POINT (988166.963115286 151017.79898818815),CROPSEY AVENUE BRIDGE,Coney Island Creek Shoreline,Dead End,SB\
28834,Queens,2019,1,12,20,0,14,66637,POINT (1006449.0930821423 204458.15234852725),48 STREET,55 Avenue,Dead end,SB\
29416,Queens,2018,11,6,9,15,126,76621,POINT (1018538.8796249675 214921.14735164854),NORTHERN BOULEVARD,91 Street,92 Street,EB\
18083,Bronx,2014,9,19,3,0,5,70364,POINT (1008155.8692819224 237035.102434156),BROOK AVENUE,East 152 Street,East 153 Street,NB\
22540,Brooklyn,2016,3,6,22,45,48,20809,POINT (982328.2025123447 171726.13419750443),8 AVENUE,55 Street,56 Street,NB\
22597,Queens,2016,4,10,7,15,250,141365,POINT (1014134.1801154491 189744.8798632119),JACKIE ROBINSON PARKWAY,Mt Judah Cemetery Boundary,Dead end,WB\
14147,Queens,2012,3,28,12,30,203,129663,POINT (1003226.5 218150.3),21 ST,BROADWAY,31 DR,SB\
30153,Queens,2019,5,4,10,15,10,77104,POINT (1015029.50289154 223906.76034060976),RIKERS ISLAND BRIDGE,Rikers Is Bridge,Dead end,SB\
28260,Queens,2018,6,24,22,15,2,59365,POINT (1045336.6148404503 187268.74421874864),164 STREET,120 Avenue,122 Avenue,NB\
1260,Brooklyn,2011,7,25,1,30,0,17176,POINT (977504.2 167132.7),5 AV,80 ST,81 ST,SB\
31027,Bronx,2019,11,8,17,45,278,193983,POINT (1020736.0204754705 251614.27827495412),PELHAM PARKWAY,Boston Road,White Plains Road,WB\
10194,Bronx,2012,7,24,18,0,75,86226,POINT (1022053.8 248788.6),BRONXDALE AV,BARNES AV,MATTHEWS AV,EB\
15720,Brooklyn,2013,9,11,11,45,61,27929,POINT (991697.7 177649.7),PROSPECT PARK SW,VANDERBILT ST,REEVE PL,NB\
27019,Brooklyn,2017,11,5,0,45,33,29277,POINT (994767.3671588105 180698.6646202694),FLATBUSH AVENUE,Lefferts Avenue,Brighton Line,NB\
22908,Queens,2016,3,4,21,45,339,143289,POINT (1007449.3358204203 219909.32003248992),GRAND CENTRAL PARKWAY ET 45 WB,33 Street,Dead End,WB\
8888,Staten Island,2012,1,11,9,15,90,8119,POINT (947738.3 159056.3),BRADLEY AVENUE,HOLDEN BOULEVARD,QUEEN STREET,NB\
28260,Manhattan,2018,6,2,13,30,99,33246,POINT (989238.0492968379 204562.99006949618),AVENUE A,East 10 Street,East 11 Street,NB\
25729,Brooklyn,2017,4,21,3,0,10,28377,POINT (995274.3442888866 178092.29678780364),PARKSIDE AVENUE,Parkside Court,Flatbush Avenue,EB\
25883,Brooklyn,2017,5,24,3,15,0,45950,POINT (1010274.5038586274 163909.07577583476),EAST 69 STREET,Avenue W,Avenue V,SB\
12496,Bronx,2011,9,13,20,0,83,79643,POINT (1011162.8 254856.4),UNIVERSITY AVE BET 190th & 192nd STs,WEST 190 STREET,WEST 192 STREET,SB\
21374,Brooklyn,2015,9,18,4,0,22,28860,POINT (1000107.3859006881 178228.42413457567),CLARKSON AVENUE,East 37 Street,East 38 Street,EB\
31064,Queens,2019,10,11,1,15,21,148948,POINT (1055625.7405447615 193945.3024861515),SPRINGFIELD BOULEVARD,115 Road,116 Avenue,NB\
16776,Brooklyn,2014,3,21,19,0,174,19781,POINT (983522.2 167581.1),65 ST,12 AV,13 AV,WB\
21153,Brooklyn,2015,9,13,23,45,39,29555,POINT (996288.0628747797 187505.87319431308),FULTON STREET,Claver Place,Franklin Avenue,EB\
15855,Queens,2013,9,24,9,15,6,97659,POINT (1044313.7 218636.4),35 AV,204 ST,205 ST,WB\
14641,Brooklyn,2013,6,19,23,15,36,50936,POINT (1022810.6 182671.5),LORING AV,FORBELL ST,DREW ST,EB\
22552,Queens,2016,3,13,8,45,48,179030,POINT (1037251.9188464199 201312.64685891697),PARSONS BOULEVARD,Union Turnpike,Goethals Avenue,NB\
16852,Queens,2014,4,25,7,15,99,84003,POINT (1028262.2 214751.5),ROOSEVELT AV,WILLETS PT BLVD/126 ST,ROOSEVELT AV BR,EB\
20537,Brooklyn,2015,6,16,20,30,23,45028,POINT (1006426.2865351386 195594.13241157864),DEKALB AVENUE,Irving Avenue,14 Street/canarsie Line,SB\
24222,Queens,2016,8,17,21,30,10,98571,POINT (1049918.9906783176 218738.94198843255),39 AVENUE,220 Street,221 Street,EB\
30723,Brooklyn,2019,6,10,7,15,127,19253,POINT (989113.3973616406 150288.32629838047),NEPTUNE AVENUE,West 15 Street,Stillwell Avenue,EB\
18025,Queens,2014,11,19,21,15,496,140442,POINT (1011388.8997395657 208480.65286894186),BROOKLYN QUEENS EXPRESSWAY,Dead End,Dead end,WB\
2850,Manhattan,2010,9,15,18,30,417,73031,POINT (1008837.6 257570.6),N/B BROADWAY BRIDGE TO BRONX,BODY OF WATER,BODY OF WATER,NB\
21148,Queens,2016,1,20,9,0,438,152055,POINT (1007346.8 210013.1),QUEENS BLVD,48 ST,ROOSEVELT AV,WB\
10678,Bronx,2010,9,22,1,30,9,87609,POINT (1020679.4 259129.9),E Gunhill Rd EB Between,BRP NB SRD and Olinville Ave E,OLINVILLE AVENUE,EB\
1241,Staten Island,2011,7,21,18,0,34,10721,POINT (953333.7 143645.7),TYSEN LN,WEED AV,MILL RD,NB\
22367,Queens,2015,12,7,14,30,34,98160,POINT (1047971.9580218615 212978.181041302),53 AVENUE,210 Street,Oceania Street,WB\
2460,Queens,2009,12,3,2,45,6,63758,POINT (1057385 181198.8),W/B MEMPHIS AVE @ 243 ST,243 ST,246 ST,WB\
11515,Queens,2013,3,15,9,0,217,106764,POINT (1056577.2 181858.5),BROOKVILLE BLVD,SUNRISE HWY,S CONDUIT AV/BROOKVILLE PARK GREENWAY,NB\
7463,Bronx,2008,5,13,8,45,694,190807,POINT (1031782.6 253001.9),N/B HUTCHINSON RIVER PKWY @ ENGLAND,NEW ENGLAND THRWY,NEW ENGLAND THRWY,NB\
9859,Manhattan,2011,4,13,2,45,25,36017,POINT (991193.3 218032.4),59TH ST APPROACH TO 6TH AVE,CENTER DR/AVE OF THE AMERICAS,GRAND ARMY PLZ,WB\
26516,Brooklyn,2017,10,27,4,45,11,28103,POINT (993383.6321051619 175312.2899443092),CHURCH AVENUE,Argyle Road,Rugby Road,EB\
18048,Queens,2014,11,18,13,30,712,134071,POINT (1029908.4610828382 206138.3961987122),VAN WYCK EXPRESSWAY,Dead End,Dead end,SB\
19869,Brooklyn,2015,3,22,19,45,7,18782,POINT (985955.8132594511 155521.14348886383),HARWAY AVENUE,Bay 38 Street,Bay 37 Street,NB\
22594,Queens,2016,4,29,3,45,22,148405,POINT (1056765.6008757448 157283.5799176336),SEAGIRT BOULEVARD,Dead End,Dead end,WB\
16588,Brooklyn,2014,4,25,15,15,204,105839,POINT (987431.6 184995.7),3 AV,3 ST,6 ST,SB\
28802,Manhattan,2018,10,26,2,0,169,36403,POINT (994999.4326287844 216414.902655303),1 AVENUE,Astoria Line,East 61 Street,NB\
21934,Brooklyn,2015,10,23,0,15,37,17080,POINT (976461.0738577092 166441.45762035585),4 AVENUE,4 Avenue Line,4 Avenue Line,NB\
25795,Manhattan,2017,5,1,13,45,403,35743,POINT (990748.9247966623 210260.98257897957),2 AVENUE,East 33 Street,East 32 Street,SB\
18056,Queens,2014,11,1,19,15,184,117965,POINT (1029712.877619727 215415.2396606172),ROOSEVELT AVENUE,Flushing Line,College Point Boulevard,EB\
3267,Queens,2009,4,6,22,15,31,145731,POINT (1009815.9 261403.8),W/B PARK LANE SOUTH @ 150 ST (W LEG),W 232 ST,GREYSTONE AV,WB\
9182,Queens,2012,2,3,23,45,41,45409,POINT (1009860.1 194303.6),MYRTLE AVENUE,MADISON STREET,PUTNAM AVENUE,EB\
22858,Brooklyn,2016,4,11,18,0,190,66035,POINT (1001694.1277701003 203243.673824877),BROOKLYN QUEENS EXPWY ET 34 WB,Porter Avenue,Apollo Street,WB\
26587,Brooklyn,2017,8,9,18,30,87,168043,POINT (1014728.3242343959 178535.9970867618),STANLEY AVENUE,Pennsylvania Avenue,Sheffield Avenue,WB\
15917,Queens,2013,10,23,18,30,797,153495,POINT (1023912.5 195568.2),JACKIE ROBINSON PARKWAY,MYRTLE AVENUE,WOODHAVEN BOULEVARD,EB\
30520,Manhattan,2019,6,12,12,30,24,9005742,POINT (991118.1276793126 203341.13751516416),AVENUE D,Dead End,East 10 Street,SB\
26733,Queens,2017,10,28,15,45,27,54867,POINT (1033536.4205252029 183718.76243846666),135 AVENUE,117 Street,118 Street,WB\
24542,Queens,2016,9,29,5,15,2,65514,POINT (1058436.909827183 197627.51387902346),107 AVENUE,225 Street,223 Street,WB\
14433,Queens,2012,10,28,17,45,77,64564,POINT (1052558.3 192234),LINDEN BLVD,198 ST,199 ST,EB\
26799,Queens,2017,4,6,20,15,23,189271,POINT (1000124.7052589084 208538.8773739439),BORDEN AVENUE BRIDGE,Borden Avenue,Dead end,EB\
15789,Brooklyn,2013,11,1,2,15,65,31025,POINT (997364.3 192889.5),NOSTRAND AVENUE,MYRTLE AVENUE,PARK AVENUE,SB\
19747,Manhattan,2015,5,31,12,30,148,9009138,POINT (987815.298631732 199756.25039785053),CLINTON STREET,Grand Street,Dead end,NB\
26238,Brooklyn,2017,6,19,22,0,19,39711,POINT (1000612.1162975741 155602.37600107124),AVENUE X,East 29 Street,Nostrand Avenue,EB\
25258,Manhattan,2017,2,8,12,45,172,34246,POINT (989871.2367283948 218342.0621004565),7 AVENUE,Broadway Line,Broadway Line,SB\
29131,Bronx,2018,10,13,15,15,36,9002680,POINT (1011436.5864979612 242366.01275502448),FRANKLIN AVENUE,Dead end,East 169 Street,SB\
1199,Manhattan,2011,8,14,4,45,83,37340,POINT (992387 228450.4),AMSTERDAM AV,W 95 ST,W 96 ST,NB\
18854,Brooklyn,2014,11,15,20,0,253,41312,POINT (1006840.0864844932 162385.27706646244),AVENUE U,East 56 Street,Pearson Street,EB\
28834,Brooklyn,2018,11,11,13,45,89,30800,POINT (995588.6136566377 199611.40801667352),DRIGGS AVENUE,Metropolitan Avenue,Fillmore Place,SB\
15833,Manhattan,2013,11,24,7,30,34,138076,POINT (983620.5 199731.3),CENTRE ST,HAMILL PL,WORTH ST,NB\
31033,Brooklyn,2019,10,17,9,0,167,20335,POINT (988697.464154955 160644.10716757688),AVENUE P,West 11 Street,West 10 Street,WB\
25933,Brooklyn,2016,9,15,14,45,60,162725,POINT (987831.7002463685 193028.4725212287),JAY STREET,8 Avenue Line,8 Avenue Line,SB\
27104,Brooklyn,2017,10,26,17,45,25,257697,POINT (997246.0053576863 183458.8438097565),EASTERN PARKWAY,Dead end,Rogers Avenue,WB\
23906,Bronx,2016,9,8,10,30,262,69628,POINT (1003383.3959731571 235669.4517274945),EAST 138 STREET,Walton Avenue,Gerard Avenue,WB\
1135,Staten Island,2011,10,23,12,30,54,16422,POINT (963038 171634.9),VICTORY BLVD,BAY ST,ST. MARKS PL,WB\
26601,Queens,2018,4,14,20,45,63,62211,POINT (1055107.3311638215 161624.61885168037),CENTRAL AVENUE,Dead End,Virginia Street,EB\
24674,Staten Island,2016,11,7,9,30,238,139528,POINT (958732.3211523091 153106.1654961161),HYLAN BOULEVARD,Garretson Avenue,Dead end,SB\
21639,Manhattan,2015,11,1,11,0,77,106047,POINT (987644.6242743841 209320.10770602527),MADISON AVENUE,Dead End,East 24 Street,NB\
22552,Queens,2016,3,13,22,0,98,170353,POINT (1035073.5394153217 195837.6428388412),HILLSIDE AVENUE,Van Wyck Expressway,138 Street,WB\
