RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,Street,fromSt,toSt,Direction
26862,Brooklyn,2017,10,8,16,0,45,66013,POINT (1001578.4595454024 202874.4872909963),VANDERVOORT AVENUE,Anthony Street,Cherry Street,SB\
20328,Manhattan,2015,5,9,11,0,153,158638,POINT (992026.3130209173 228660.28922154652),BROADWAY,West 95 Street,West 96 Street,NB\
18043,Brooklyn,2014,10,22,2,15,10,26054,POINT (997720.1036061131 151808.8924582082),EMMONS AVENUE,East 16 Street,Sheepshead Bay Road,WB\
25356,Brooklyn,2017,3,5,7,0,15,126789,POINT (975730.0272785162 166389.3219891896),86 STREET,Alley,3 Avenue,WB\
16721,Queens,2014,2,12,15,15,42,76505,POINT (1018015.1 215241.9),90 ST,32 AV,NORTHERN BLVD,SB\
24893,Manhattan,2016,10,23,7,15,267,36374,POINT (994288.1339983353 216162.2014477388),ED KOCH QUEENSBORO BRIDGE APPR,East 58 Street,East 59 Street,EB\
17941,Queens,2014,8,13,15,15,216,151316,POINT (1029030.1782343184 191126.71052590208),ATLANTIC AVENUE,Dead end,107 Street,WB\
29120,Manhattan,2018,10,15,10,15,1012,136811,POINT (995814.4517053183 215896.87205204542),F D R DRIVE,Astoria Line,Dead end,NB\
7146,Bronx,2009,9,18,17,45,93,154609,POINT (1004359 241881.2),N/B JEROME AVE @MACOMBS DAM BR. APPROACH,MACOMBS DAM BR,BEND,NB\
28831,Brooklyn,2018,11,17,10,30,86,28855,POINT (999924.0332787682 177188.12760026017),LINDEN BOULEVARD,Brooklyn Avenue,East 37 Street,EB\
27357,Queens,2017,12,6,5,0,36,76202,POINT (1015095.71815218 211497.411700591),ROOSEVELT AVENUE,77 Street,78 Street,EB\
28809,Manhattan,2019,2,6,5,45,74,158626,POINT (992771.8861599567 217573.16145424603),PARK AVENUE,Astoria Line,East 61 Street,SB\
31054,Queens,2019,10,5,20,45,56,64584,POINT (1052151.9426697658 194361.19412888156),MURDOCK AVENUE,199 Street,200 Street,WB\
31033,Brooklyn,2019,10,18,4,45,6,27454,POINT (998761.483273067 159975.66506381912),BEDFORD AVENUE,Avenue R,Avenue S,NB\
28802,Manhattan,2019,2,3,13,0,38,37279,POINT (992004.2280436634 229618.45368033453),WEST END AVENUE,West 98 Street,West 99 Street,NB\
11505,Brooklyn,2011,5,15,11,45,21,110365,POINT (997473.1 153446.6),E 17 ST BET AVE Z & JEROME AVE,AV Z,JEROME AV,SB\
18916,Queens,2014,11,17,17,0,20,55056,POINT (1034523.2866845151 188299.47630850732),123 STREET,107 Avenue,109 Avenue,SB\
7527,Manhattan,2009,10,1,16,0,212,132891,POINT (1002492.8 237882.7),W/B 145TH ST BR @ W 145 ST,HARLEM RIVER DRIVE,HARLEM RIVER DR,WB\
21187,Queens,2015,11,14,19,30,143,51994,POINT (1028873.3364188375 187024.50512799135),ROCKAWAY BOULEVARD,100 Street,101 Street,WB\
9773,Manhattan,2011,3,30,20,30,0,71384,POINT (1003643 249260.4),185TH ST BET AMSTERDAM & AUDUBON AVES,AUDUBON AV,AMSTERDAM AV,EB\
27162,Brooklyn,2017,12,11,12,0,118,28015,POINT (992328.2405513123 174830.17676794966),CONEY ISLAND AVENUE,Friel Place,Church Avenue,SB\
28831,Bronx,2019,1,14,12,0,51,69618,POINT (1003425.9318301738 235087.29950918007),PARK AVENUE,East 135 Street,Dead end,EB\
15798,Brooklyn,2013,11,4,19,15,9,44656,POINT (1004018.2 199209.4),TEN EYCK ST,VARICK AV,STEWART AV,EB\
